順位,暫定評価
1,0.9553467
2,0.8778331
3,0.877526
4,0.877526
5,0.8771574
6,0.8766046
7,0.8765432
8,0.8761133
9,0.8759904
10,0.8759904
11,0.8758676
12,0.8756833
13,0.8756833
14,0.8756219
15,0.8756219
16,0.8754376
17,0.8752534
18,0.8752534
19,0.8752534
20,0.8752534
21,0.8751305
22,0.8751305
23,0.8750691
24,0.8750077
25,0.8750077
26,0.8750077
27,0.8749463
28,0.8748848
29,0.8748848
30,0.8748848
31,0.8748848
32,0.8748234
33,0.874762
34,0.8747006
35,0.8747006
36,0.8746391
37,0.8745777
38,0.8745777
39,0.8745163
40,0.8745163
41,0.8745163
42,0.8744549
43,0.8744549
44,0.8744549
45,0.8743935
46,0.874332
47,0.8742706
48,0.8742706
49,0.8742706
50,0.8742706
51,0.8742092
52,0.8742092
53,0.8742092
54,0.8741478
55,0.8740864
56,0.8740864
57,0.8739635
58,0.8739635
59,0.8739635
60,0.8739635
61,0.8739021
62,0.8739021
63,0.8739021
64,0.8739021
65,0.8738407
66,0.8738407
67,0.8737793
68,0.8737178
69,0.8737178
70,0.8736564
71,0.8736564
72,0.873595
73,0.873595
74,0.8735336
75,0.8735336
76,0.8735336
77,0.8734721
78,0.8734721
79,0.8734107
80,0.8733493
81,0.8732879
82,0.8732879
83,0.8732879
84,0.8732265
85,0.873165
86,0.873165
87,0.873165
88,0.8731036
89,0.8731036
90,0.8731036
91,0.8729808
92,0.8729194
93,0.8729194
94,0.8729194
95,0.8729194
96,0.8729194
97,0.8729194
98,0.8728579
99,0.8728579
100,0.8727965
101,0.8727965
102,0.8727351
103,0.8727351
104,0.8727351
105,0.8727351
106,0.8726737
107,0.8726737
108,0.8726737
109,0.8726737
110,0.8726122
111,0.8725508
112,0.8724894
113,0.8723666
114,0.8723666
115,0.8723666
116,0.8723051
117,0.8723051
118,0.8723051
119,0.8723051
120,0.8723051
121,0.8722437
122,0.8722437
123,0.8721823
124,0.8721823
125,0.8721823
126,0.8721823
127,0.8721823
128,0.8721209
129,0.8721209
130,0.8720595
131,0.8720595
132,0.871998
133,0.8719366
134,0.8719366
135,0.8719366
136,0.8718752
137,0.8718752
138,0.8718138
139,0.8717523
140,0.8717523
141,0.8716909
142,0.8716909
143,0.8716909
144,0.8716909
145,0.8716909
146,0.8716295
147,0.8716295
148,0.8715681
149,0.8715681
150,0.8715067
151,0.8715067
152,0.8715067
153,0.8715067
154,0.8714452
155,0.8713838
156,0.8713838
157,0.8713838
158,0.8713224
159,0.8713224
160,0.8713224
161,0.8713224
162,0.8713224
163,0.8713224
164,0.871261
165,0.871261
166,0.871261
167,0.8711996
168,0.8711996
169,0.8710767
170,0.8710153
171,0.8709539
172,0.8709539
173,0.8709539
174,0.8707696
175,0.8707696
176,0.8707696
177,0.8707082
178,0.8707082
179,0.8706468
180,0.8706468
181,0.8705853
182,0.8705853
183,0.8705853
184,0.8705239
185,0.8705239
186,0.8705239
187,0.8705239
188,0.8704625
189,0.8704625
190,0.8704011
191,0.8703397
192,0.8703397
193,0.8703397
194,0.8702782
195,0.8701554
196,0.8701554
197,0.8700326
198,0.8699711
199,0.8699711
200,0.8699711
201,0.8698483
202,0.8698483
203,0.8697869
204,0.8697254
205,0.8697254
206,0.8697254
207,0.869664
208,0.8696026
209,0.8695412
210,0.8694183
211,0.8692341
212,0.8691727
213,0.8691727
214,0.868927
215,0.8688655
216,0.8688655
217,0.8687427
218,0.8686813
219,0.8686199
220,0.8685584
221,0.868497
222,0.8683742
223,0.8683128
224,0.8681899
225,0.8679442
226,0.8678828
227,0.86776
228,0.8676371
229,0.8676371
230,0.8675757
231,0.8672686
232,0.8672072
233,0.8672072
234,0.8670843
235,0.8670229
236,0.8667158
237,0.866593
238,0.8664701
239,0.8664701
240,0.8664701
241,0.8664701
242,0.8664087
243,0.8664087
244,0.8662244
245,0.8660402
246,0.8660402
247,0.8659787
248,0.8659173
249,0.8659173
250,0.8659173
251,0.8658559
252,0.8658559
253,0.8657331
254,0.8656716
255,0.8655488
256,0.8654874
257,0.8653031
258,0.8653031
259,0.8653031
260,0.8652417
261,0.8652417
262,0.8652417
263,0.8651803
264,0.8651803
265,0.8651803
266,0.8651189
267,0.8650574
268,0.8648732
269,0.8648117
270,0.8646889
271,0.8645661
272,0.8645661
273,0.8643818
274,0.8643818
275,0.864259
276,0.8641975
277,0.8641975
278,0.8641361
279,0.8640747
280,0.8640133
281,0.8640133
282,0.8638904
283,0.863829
284,0.863829
285,0.863829
286,0.8637676
287,0.8637676
288,0.8637676
289,0.8637062
290,0.8637062
291,0.8636447
292,0.8636447
293,0.8635833
294,0.8635833
295,0.8635219
296,0.8635219
297,0.8634605
298,0.8634605
299,0.8633991
300,0.8633991
301,0.8633376
302,0.8632762
303,0.8632762
304,0.8632762
305,0.8632762
306,0.8632148
307,0.8632148
308,0.8631534
309,0.8630305
310,0.8629077
311,0.8628463
312,0.8627848
313,0.8627848
314,0.8627848
315,0.8627848
316,0.862662
317,0.862662
318,0.8626006
319,0.8624777
320,0.8624777
321,0.8624163
322,0.8623549
323,0.8622935
324,0.8622935
325,0.862232
326,0.862232
327,0.8621706
328,0.8621092
329,0.8621092
330,0.8620478
331,0.8620478
332,0.8620478
333,0.8620478
334,0.8620478
335,0.8619864
336,0.8619249
337,0.8618635
338,0.8618635
339,0.8618635
340,0.8618021
341,0.8617407
342,0.8616793
343,0.8616178
344,0.8615564
345,0.8615564
346,0.861495
347,0.861495
348,0.8614336
349,0.8613722
350,0.8613722
351,0.8613722
352,0.8613107
353,0.8613107
354,0.8611879
355,0.8611265
356,0.8611265
357,0.861065
358,0.861065
359,0.8610036
360,0.8609422
361,0.8606965
362,0.8606965
363,0.8606965
364,0.8606351
365,0.8605737
366,0.8605737
367,0.8604508
368,0.8604508
369,0.8602666
370,0.8602051
371,0.8602051
372,0.8602051
373,0.8602051
374,0.8601437
375,0.8600823
376,0.8600209
377,0.8600209
378,0.859898
379,0.859898
380,0.859898
381,0.8598366
382,0.8597138
383,0.8595295
384,0.8594067
385,0.8592838
386,0.8592224
387,0.8587925
388,0.858731
389,0.8586082
390,0.8586082
391,0.8585468
392,0.8584854
393,0.8582397
394,0.8581782
395,0.8581168
396,0.8580554
